"","year","run_95"
"1",1976,229
"2",1977,219
"3",1978,232
"4",1979,237
"5",1980,238
"6",1981,242
"7",1982,242
"8",1983,246
"9",1984,257
"10",1985,245
"11",1986,249
"12",1987,242
"13",1988,248
"14",1989,246
"15",1990,252
"16",1991,245
"17",1992,247
"18",1993,245
"19",1994,249
"20",1995,249
"21",1996,239
"22",1997,264
"23",1998,248
"24",1999,272
"25",2000,246
"26",2001,238
"27",2002,249
"28",2003,237
"29",2004,253
"30",2005,277
"31",2006,264
"32",2007,272
"33",2008,235
"34",2009,234
"35",2010,235
"36",2011,238
"37",2012,230
"38",2013,227
"39",2014,232
"40",2015,246
"41",2016,233
"42",2017,242
"43",2018,231
