year,days,diff
2012,one,0.06415846331340558
2013,one,0.023288491477386097
2014,one,NA
2015,one,0.017301142055700214
2016,one,0.019810356374916238
2017,one,0.03843843199519381
2018,one,0.023732702373270187
2019,one,0.030503127840453392
2020,one,0.033492019896853686
2021,one,NA
2012,two,0.06415846331340558
2013,two,0.023288491477386097
2014,two,NA
2015,two,0.008395111200160343
2016,two,0.01288378159258341
2017,two,0.009408457956959215
2018,two,0.015236251523625177
2019,two,NA
2020,two,0.033492019896853686
2021,two,NA
2012,three,NA
2013,three,0.023288491477386097
2014,three,NA
2015,three,NA
2016,three,0.004793965243751974
2017,three,NA
2018,three,0.007349250734925095
2019,three,NA
2020,three,0.033492019896853686
2021,three,NA
2012,four,NA
2013,four,0.023288491477386097
2014,four,NA
2015,four,NA
2016,four,NA
2017,four,NA
2018,four,NA
2019,four,NA
2020,four,0.033492019896853686
2021,four,NA
2012,five,NA
2013,five,0.023288491477386097
2014,five,NA
2015,five,NA
2016,five,NA
2017,five,NA
2018,five,NA
2019,five,NA
2020,five,0.033492019896853686
2021,five,NA
